metric,profile,baseline,topology,load_tps,n_pairs,baseline_mean,profile_mean,delta_improvement_ms,delta_improvement_pct,ci_low,ci_high,ci_halfwidth_rel,p_value,significant,holm_p,holm_reject
p99_ms,C2,C0,T0_local,400,3,29851.400000,776.400000,29075.000000,97.399117,29050.000000,29100.000000,0.000837,0.000100,True,0.006000,True
p99_ms,C2,C0,T1_vpn,25,3,2063.133333,813.133333,1250.000000,60.587456,1225.000000,1275.000000,0.012117,0.000100,True,0.006000,True
p99_ms,C2,C0,T1_vpn,50,3,2054.800000,829.800000,1225.000000,59.616508,1225.000000,1225.000000,0.000000,0.000100,True,0.006000,True
p99_ms,C2,C0,T1_vpn,100,3,2054.800000,821.466667,1233.333333,60.022062,1225.000000,1250.000000,0.006083,0.000100,True,0.006000,True
p99_ms,C2,C0,T1_vpn,200,3,7396.466667,829.800000,6566.666667,88.781130,6550.000000,6575.000000,0.001690,0.000100,True,0.006000,True
p99_ms,C2,C0,T1_vpn,400,3,29838.133333,821.466667,29016.666667,97.246923,28975.000000,29050.000000,0.001257,0.000100,True,0.006000,True
p99_ms,C2,C0,T2_three_region_emulated,25,3,2186.333333,961.333333,1225.000000,56.029883,1200.000000,1250.000000,0.011435,0.000100,True,0.006000,True
p99_ms,C2,C0,T2_three_region_emulated,50,3,2261.333333,994.666667,1266.666667,56.014151,1250.000000,1275.000000,0.005528,0.000100,True,0.006000,True
p99_ms,C2,C0,T2_three_region_emulated,100,3,2178.000000,978.000000,1200.000000,55.096419,1175.000000,1225.000000,0.011478,0.000100,True,0.006000,True
p99_ms,C2,C0,T2_three_region_emulated,200,3,7494.666667,994.666667,6500.000000,86.728340,6475.000000,6550.000000,0.005004,0.000100,True,0.006000,True
p99_ms,C2,C0,T2_three_region_emulated,400,3,29544.666667,1169.666667,28375.000000,96.041023,28000.000000,28850.000000,0.014385,0.000100,True,0.006000,True
p99_ms,C3,C0,T0_local,25,3,2026.400000,534.733333,1491.666667,73.611659,1475.000000,1500.000000,0.006169,0.000100,True,0.006000,True
p99_ms,C3,C0,T0_local,50,3,2001.400000,526.400000,1475.000000,73.698411,1475.000000,1475.000000,0.000000,0.000100,True,0.006000,True
p99_ms,C3,C0,T0_local,100,3,2026.400000,526.400000,1500.000000,74.022898,1500.000000,1500.000000,0.000000,0.000100,True,0.006000,True
p99_ms,C3,C0,T0_local,200,3,7368.066667,526.400000,6841.666667,92.855656,6825.000000,6850.000000,0.001697,0.000100,True,0.006000,True
p99_ms,C3,C0,T0_local,400,3,29851.400000,526.400000,29325.000000,98.236599,29300.000000,29350.000000,0.000837,0.000100,True,0.006000,True
p99_ms,C3,C0,T1_vpn,25,3,2063.133333,579.800000,1483.333333,71.897114,1475.000000,1500.000000,0.006059,0.000100,True,0.006000,True
p99_ms,C3,C0,T1_vpn,50,3,2054.800000,579.800000,1475.000000,71.783142,1475.000000,1475.000000,0.000000,0.000100,True,0.006000,True
p99_ms,C3,C0,T1_vpn,100,3,2054.800000,571.466667,1483.333333,72.188696,1475.000000,1500.000000,0.006083,0.000100,True,0.006000,True
p99_ms,C3,C0,T1_vpn,200,3,7396.466667,579.800000,6816.666667,92.161122,6800.000000,6825.000000,0.001690,0.000100,True,0.006000,True
p99_ms,C3,C0,T1_vpn,400,3,29838.133333,579.800000,29258.333333,98.056849,29225.000000,29300.000000,0.001257,0.000100,True,0.006000,True
p99_ms,C3,C0,T2_three_region_emulated,25,3,2186.333333,769.666667,1416.666667,64.796463,1325.000000,1500.000000,0.040021,0.000100,True,0.006000,True
