run_id,config,topology,load_tps,repeat,trace_id,provenance,n_submitted,n_success,n_timeout,window_s,p50_ms,p95_ms,p99_ms,all_p50_ms,all_p95_ms,all_p99_ms,convergence_p99_ms,goodput_tps,availability_pct,consistency_pct,p99_drift_pct,observed_block_interval_ms,tx_per_block_mean,queue_slope_tx_per_s,queue_slope_ci_low,queue_slope_ci_high,queue_depth_p95,cpu_p95_pct,cpu_max_pct,cpu_saturated_s,disk_p99_ms,mem_p95_mib
RUN-0078,C1,T1_vpn,100,2,L100-R02,SIMULATED,2000,2000,0,19.986017,579.800000,1004.800000,1054.800000,604.800000,1004.800000,1079.800000,25.000000,100.069965,100.000000,100.000000,0.000000,1000.000000,100.000000,0.651515,0.000000,1.285714,67.000000,18.930705,20.895695,0.000000,3.854128,1911.747200
RUN-0076,C1,T1_vpn,100,3,L100-R03,SIMULATED,2000,2000,0,19.990370,579.800000,1029.800000,1054.800000,579.800000,1029.800000,1079.800000,25.000000,100.048173,100.000000,100.000000,2.370118,1000.000000,100.000000,0.000000,-0.666667,0.500000,60.000000,20.934913,21.711088,0.000000,10.324752,1905.296000
RUN-0097,C1,T1_vpn,200,1,L200-R01,SIMULATED,4000,4000,0,19.991344,579.800000,1029.800000,1054.800000,579.800000,1029.800000,1079.800000,25.000000,200.086600,100.000000,100.000000,0.000000,1000.000000,200.000000,-0.069048,-0.800000,0.916667,114.000000,27.874209,29.949392,0.000000,5.600770,1955.062400
RUN-0102,C1,T1_vpn,200,2,L200-R02,SIMULATED,4000,4000,0,19.999186,579.800000,1029.800000,1079.800000,604.800000,1029.800000,1079.800000,50.000000,200.008145,100.000000,100.000000,-2.315244,1000.000000,192.307692,0.600000,-0.400000,1.538462,119.000000,28.597826,30.513288,0.000000,4.086739,1959.670400
RUN-0093,C1,T1_vpn,200,3,L200-R03,SIMULATED,4000,4000,0,19.995274,579.800000,1029.800000,1054.800000,604.800000,1029.800000,1079.800000,25.000000,200.047271,100.000000,100.000000,0.000000,1000.000000,192.307692,0.633333,-0.176471,1.428571,117.000000,28.651991,28.716616,0.000000,6.028187,1957.827200
RUN-0126,C1,T1_vpn,400,1,L400-R01,SIMULATED,8000,8000,0,19.996597,3879.800000,6154.800000,6454.800000,3904.800000,6154.800000,6454.800000,25.000000,400.068062,100.000000,100.000000,55.293950,1000.000000,322.580645,77.972222,76.444444,79.000000,1913.000000,38.215144,38.342239,0.000000,4.453436,3613.020800
RUN-0124,C1,T1_vpn,400,2,L400-R02,SIMULATED,8000,8000,0,19.999390,4104.800000,6104.800000,6429.800000,4104.800000,6129.800000,6429.800000,25.000000,400.012195,100.000000,100.000000,45.202911,1000.000000,322.580645,72.345238,70.000000,74.333333,1901.000000,38.236384,38.929272,0.000000,6.070708,3601.961600
RUN-0127,C1,T1_vpn,400,3,L400-R03,SIMULATED,8000,8000,0,19.998896,3904.800000,6104.800000,6454.800000,3904.800000,6104.800000,6454.800000,25.000000,400.022084,100.000000,100.000000,54.967138,1000.000000,322.580645,74.193750,72.636364,75.818182,1905.000000,37.552690,38.453819,0.000000,7.340035,3605.648000
RUN-0181,C1,T2_three_region_emulated,25,1,L25-R01,SIMULATED,500,500,0,19.961527,703.000000,1153.000000,1203.000000,778.000000,1203.000000,1278.000000,150.000000,25.048183,100.000000,100.000000,2.122241,1000.000000,25.000000,0.080128,-0.333333,0.500000,19.000000,14.011660,14.210796,0.000000,4.169924,1867.510400
RUN-0184,C1,T2_three_region_emulated,25,2,L25-R02,SIMULATED,500,500,0,19.989688,728.000000,1178.000000,1328.000000,778.000000,1228.000000,1453.000000,125.000000,25.012896,100.000000,100.000000,5.647590,1000.000000,24.038462,0.000000,-0.166667,0.200000,16.000000,13.785869,13.796937,0.000000,8.555234,1864.745600
