scenario,arm,metric,n,n_missing,mean,sd,median,q1,q3,ci_lo,ci_hi
S2,A0,fp_rate_holdout,54,0,0.01266975308641972,0.002511136775315186,0.01312499999999995,0.010937499999999975,0.0141666666666666,0.011990740740740713,0.013325617283950576
S2,A0,blast_recall,54,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S2,A0,whatif_abs_err,0,54,,,,,,,
S2,A0,orchestrator_cpu_s,54,0,6.906620370391046e-05,1.0895510436556224e-05,6.533849999978969e-05,6.404125000114558e-05,6.964425000055563e-05,6.640946111141334e-05,7.216163981489146e-05
S2,A0,availability_below_amin,54,0,0.7416975308641975,0.00040954488990722703,0.741875,0.7414583333333333,0.741875,0.7415895061728395,0.7418055555555556
S2,A0,action_regret,54,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S2,A0,detected,54,0,0.0,,,,,0.0,0.0664135880908964
S2,A0,contained,54,0,0.0,,,,,0.0,0.0664135880908964
S2,A0,recovered,54,0,0.0,,,,,0.0,0.0664135880908964
S2,A0,policy_violation,54,0,0.0,,,,,0.0,0.0664135880908964
S2,A0,unsafe_action,54,0,0.0,,,,,0.0,0.0664135880908964
S2,A0,rollback,54,0,0.0,,,,,0.0,0.0664135880908964
S2,A0,action_optimal,54,0,1.0,,,,,0.9335864119091037,1.0
S2,A0,censored_restore,54,0,1.0,,,,,0.9335864119091037,1.0
S2,A1,detection_latency,0,54,,,,,,,
S2,A1,containment_latency,0,54,,,,,,,
S2,A1,t_service_restore,0,54,,,,,,,
S2,A1,nri,54,0,0.9016538778029015,0.00014960471112786662,0.9016554109258772,0.9015491659543575,0.9017599394242763,0.9016138755474777,0.9016934200617115
S2,A1,fp_rate_holdout,54,0,0.01266975308641972,0.002511136775315186,0.01312499999999995,0.010937499999999975,0.0141666666666666,0.01201369598765428,0.013333333333333301
S2,A1,blast_recall,54,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S2,A1,whatif_abs_err,0,54,,,,,,,
S2,A1,orchestrator_cpu_s,54,0,6.536166666674382e-05,6.768855659775329e-06,6.426100000034296e-05,6.279425000010885e-05,6.617900000049914e-05,6.374073657411475e-05,6.728898379635043e-05
S2,A1,availability_below_amin,54,0,0.7416743827160495,0.00047707357135338914,0.7414583333333333,0.7414583333333333,0.741875,0.741550925925926,0.741797839506173
S2,A1,action_regret,54,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S2,A1,detected,54,0,0.0,,,,,0.0,0.0664135880908964
S2,A1,contained,54,0,0.0,,,,,0.0,0.0664135880908964
S2,A1,recovered,54,0,0.0,,,,,0.0,0.0664135880908964
S2,A1,policy_violation,54,0,0.0,,,,,0.0,0.0664135880908964
S2,A1,unsafe_action,54,0,0.0,,,,,0.0,0.0664135880908964
S2,A1,rollback,54,0,0.0,,,,,0.0,0.0664135880908964
S2,A1,action_optimal,54,0,1.0,,,,,0.9335864119091037,1.0
S2,A1,censored_restore,54,0,1.0,,,,,0.9335864119091037,1.0
S2,A2,detection_latency,3,51,540.0,235.02553052806837,417.0,404.5,614.0,392.0,811.0
S2,A2,containment_latency,3,51,557.001,235.02553052806837,434.001,421.501,631.001,409.001,828.0009999999999
S2,A2,t_service_restore,3,51,576.3333333333334,235.183084709197,453.5,440.75,650.5,428.0,847.5
S2,A2,nri,54,0,0.9058103446231471,0.01774068188811483,0.9016784373605908,0.9015819999681995,0.9017474669032693,0.9016584528363673,0.9109039861437642
S2,A2,fp_rate_holdout,54,0,0.018850308641975275,0.002891213267593382,0.01854166666666665,0.0170833333333333,0.0208333333333333,0.018070987654320952,0.0195989583333333
S2,A2,blast_recall,54,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S2,A2,whatif_abs_err,0,54,,,,,,,
S2,A2,orchestrator_cpu_s,54,0,7.411474074068284e-05,9.09274646876508e-06,7.169949999941139e-05,6.89525000001634e-05,7.543949999977428e-05,7.187423935200433e-05,7.665286851836236e-05
S2,A2,availability_below_amin,54,0,0.7266628086419753,0.07314955498447004,0.7414583333333333,0.7414583333333333,0.741875,0.7051466049382716,0.7416666666666666
S2,A2,action_regret,54,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S2,A2,detected,54,0,0.05555555555555555,,,,,0.0190732684546909,0.15107214318166143
S2,A2,contained,54,0,0.05555555555555555,,,,,0.0190732684546909,0.15107214318166143
S2,A2,recovered,54,0,0.05555555555555555,,,,,0.0190732684546909,0.15107214318166143
S2,A2,policy_violation,54,0,0.0,,,,,0.0,0.0664135880908964
S2,A2,unsafe_action,54,0,0.0,,,,,0.0,0.0664135880908964
S2,A2,rollback,54,0,0.0,,,,,0.0,0.0664135880908964
S2,A2,action_optimal,54,0,1.0,,,,,0.9335864119091037,1.0
S2,A2,censored_restore,54,0,0.9444444444444444,,,,,0.8489278568183386,0.9809267315453091
S2,A3,detection_latency,3,51,540.0,235.02553052806837,417.0,404.5,614.0,392.0,811.0
S2,A3,containment_latency,3,51,557.001,235.02553052806837,434.001,421.501,631.001,409.001,828.0009999999999
