t_rel_s,mean,sd,ci95_lo,ci95_hi,n,scenario,method
231.0,0.9981254999999999,0.001720181982416857,0.9973204300505648,0.998930569949435,20,S2,framework
232.0,0.9982,0.002254632657674546,0.9971447994350234,0.9992552005649765,20,S2,framework
233.0,0.9982995000000001,0.0021450370503486357,0.9972955917581324,0.9993034082418678,20,S2,framework
234.0,0.9986794999999999,0.0014952256474666558,0.997979712856137,0.9993792871438629,20,S2,framework
235.0,0.9986935000000001,0.001657297340154809,0.9979178609690863,0.9994691390309139,20,S2,framework
236.0,0.9985535000000002,0.0016539880830729672,0.9977794097490752,0.9993275902509252,20,S2,framework
237.0,0.9984405000000001,0.0015032542769114756,0.9977369553418931,0.999144044658107,20,S2,framework
238.0,0.9986615000000002,0.0013228847067558143,0.9980423708992059,0.9992806291007945,20,S2,framework
239.0,0.9980424999999998,0.002534506855386268,0.996856314278509,0.9992286857214907,20,S2,framework
240.0,0.9983665000000002,0.0017267318537447635,0.9975583646164234,0.9991746353835769,20,S2,framework
241.0,0.999023,0.0017399458551769318,0.9982086802733866,0.9998373197266134,20,S2,framework
242.0,0.9988075000000001,0.0017405530730201775,0.9979928960866882,0.999622103913312,20,S2,framework
243.0,0.9976155,0.0018285210445948576,0.9967597258086875,0.9984712741913124,20,S2,framework
244.0,0.9978434999999998,0.002251788236748272,0.9967896306649947,0.9988973693350048,20,S2,framework
245.0,0.9984770000000001,0.0015366268594760217,0.9977578364924735,0.9991961635075266,20,S2,framework
246.0,0.9983015000000002,0.0018231357457327332,0.9974482462061381,0.9991547537938622,20,S2,framework
247.0,0.998649,0.0014944349398597684,0.9979495829186884,0.9993484170813116,20,S2,framework
248.0,0.9988595,0.0014659844007212056,0.9981733981808756,0.9995456018191244,20,S2,framework
249.0,0.9987105,0.0016451538881787004,0.9979405442795546,0.9994804557204453,20,S2,framework
250.0,0.9978550000000002,0.0024455943201903583,0.9967104266258924,0.9989995733741079,20,S2,framework
251.0,0.9982564999999999,0.0021350170096697102,0.9972572812815229,0.9992557187184768,20,S2,framework
252.0,0.9988670000000001,0.0016335627837402156,0.9981024690834183,0.9996315309165819,20,S2,framework
253.0,0.9985525000000003,0.0017507257893438642,0.9977331351088965,0.9993718648911041,20,S2,framework
254.0,0.9984284999999999,0.0016759232333882564,0.9976441437827204,0.9992128562172795,20,S2,framework
255.0,0.9987175000000003,0.0016055819571272687,0.9979660645133768,0.9994689354866237,20,S2,framework
256.0,0.9987885000000002,0.0016394584311193888,0.9980212098355097,0.9995557901644907,20,S2,framework
257.0,0.9984774999999999,0.002140570201949396,0.9974756823075344,0.9994793176924655,20,S2,framework
258.0,0.998407,0.001570454510140632,0.9976720046646271,0.999141995335373,20,S2,framework
259.0,0.9980245000000002,0.0025071213834952097,0.996851131073881,0.9991978689261194,20,S2,framework
260.0,0.9982050000000001,0.0015047346330132325,0.997500762513911,0.9989092374860893,20,S2,framework
261.0,0.9983264999999999,0.0017589000001496144,0.9975033094604778,0.999149690539522,20,S2,framework
262.0,0.9990874999999999,0.0014247100351336439,0.9984207151785863,0.9997542848214135,20,S2,framework
263.0,0.9974314999999999,0.0022482046053169677,0.9963793078561319,0.9984836921438679,20,S2,framework
264.0,0.999151,0.0010742826247755884,0.9986482202550384,0.9996537797449616,20,S2,framework
265.0,0.9982245000000003,0.0018758085274299529,0.9973465945854777,0.9991024054145229,20,S2,framework
266.0,0.9981665,0.0021577504733548618,0.9971566416930104,0.9991763583069895,20,S2,framework
267.0,0.9986174999999999,0.0016931716579124205,0.9978250712715551,0.9994099287284448,20,S2,framework
268.0,0.9983519999999999,0.001736547088182084,0.9975392709453041,0.9991647290546957,20,S2,framework
269.0,0.998748,0.001786683490363317,0.9979118063867973,0.9995841936132026,20,S2,framework
270.0,0.9980840000000002,0.0018406331862475514,0.9972225571519018,0.9989454428480986,20,S2,framework
271.0,0.9980135000000001,0.0024228371255291038,0.9968795773208434,0.9991474226791568,20,S2,framework
272.0,0.9992145000000001,0.00118879627310459,0.9986581262178889,0.9997708737821114,20,S2,framework
273.0,0.9982580000000001,0.0016032256957705365,0.9975076672776368,0.9990083327223633,20,S2,framework
274.0,0.9979030000000002,0.0019764031657746894,0.9969780148455237,0.9988279851544767,20,S2,framework
275.0,0.9976420000000001,0.0017113232799272787,0.9968410760509524,0.9984429239490479,20,S2,framework
276.0,0.9985014999999997,0.0018531176433243565,0.997634214246133,0.9993687857538665,20,S2,framework
277.0,0.9982279999999999,0.0018192265563029511,0.9973765757631085,0.9990794242368913,20,S2,framework
278.0,0.998879,0.0013206772584748398,0.9982609040168026,0.9994970959831974,20,S2,framework
279.0,0.997744,0.001982391962941953,0.9968162120021721,0.9986717879978279,20,S2,framework
280.0,0.9986499999999999,0.001835598281931972,0.9977909135596561,0.9995090864403438,20,S2,framework
281.0,0.9986729999999999,0.0016421362851320716,0.9979044565612533,0.9994415434387466,20,S2,framework
282.0,0.9985634999999998,0.0019135590291116543,0.9976679268068407,0.999459073193159,20,S2,framework
283.0,0.9979194999999998,0.002432943798429339,0.996780847252325,0.9990581527476747,20,S2,framework
284.0,0.9989319999999999,0.0018380327011580386,0.998071774216387,0.9997922257836128,20,S2,framework
285.0,0.9982424999999997,0.0022966586140464374,0.9971676306819975,0.9993173693180019,20,S2,framework
286.0,0.9985725000000002,0.0016028752947520122,0.9978223312703617,0.9993226687296387,20,S2,framework
287.0,0.998793,0.0011642440511019708,0.9982481170114956,0.9993378829885045,20,S2,framework
288.0,0.9980240000000002,0.0020235960695335403,0.9970769278866838,0.9989710721133167,20,S2,framework
289.0,0.9980709999999998,0.00223314482053307,0.9970258560523683,0.9991161439476314,20,S2,framework
290.0,0.9979890000000001,0.002046483247967229,0.9970312163574544,0.9989467836425459,20,S2,framework
291.0,0.9990554999999999,0.001421705702761009,0.9983901212494184,0.9997208787505814,20,S2,framework
292.0,0.9986249999999999,0.0017147026748558804,0.9978224944454406,0.9994275055545592,20,S2,framework
293.0,0.9984310000000001,0.002037118449905986,0.9974775992178603,0.9993844007821399,20,S2,framework
294.0,0.9982285000000001,0.0021211845623067367,0.997235755066165,0.9992212449338351,20,S2,framework
295.0,0.9984540000000003,0.0015874885826360915,0.9977110324732995,0.9991969675267011,20,S2,framework
296.0,0.9985965,0.0011608539279794176,0.9980532036379565,0.9991397963620435,20,S2,framework
297.0,0.99799,0.00153400404857766,0.9972720640057592,0.9987079359942409,20,S2,framework
298.0,0.9988705000000001,0.0015012046916779188,0.9981679145773097,0.9995730854226905,20,S2,framework
299.0,0.9982705,0.001700416280301914,0.9974746806839077,0.9990663193160922,20,S2,framework
300.0,0.9979054999999997,0.0015381584170004918,0.9971856197014873,0.998625380298512,20,S2,framework
301.0,0.9983959999999998,0.001791010887739109,0.997557781102483,0.9992342188975166,20,S2,framework
302.0,0.998687,0.0014658573923601302,0.9980009576226183,0.9993730423773817,20,S2,framework
303.0,0.9985315,0.0015091240924177752,0.9978252081836732,0.9992377918163269,20,S2,framework
304.0,0.9986545000000001,0.0016593101768981938,0.9978779189324926,0.9994310810675077,20,S2,framework
305.0,0.9983415000000001,0.0016158728291545742,0.9975852482370132,0.999097751762987,20,S2,framework
306.0,0.9978575,0.0021283348445501507,0.996861408631065,0.9988535913689349,20,S2,framework
307.0,0.9985455000000002,0.0017500660889776328,0.9977264438581717,0.9993645561418287,20,S2,framework
308.0,0.9979135000000001,0.0016338307423772063,0.9971488436749159,0.9986781563250844,20,S2,framework
309.0,0.9984664999999999,0.0018393141599377014,0.997605674475217,0.9993273255247829,20,S2,framework
310.0,0.9981205,0.001764168135560303,0.9972948438972108,0.9989461561027891,20,S2,framework
311.0,0.9979129999999999,0.0017554849382495478,0.997091407758646,0.9987345922413539,20,S2,framework
312.0,0.998585,0.002046860240003029,0.9976270399197504,0.9995429600802495,20,S2,framework
313.0,0.9986895,0.0018285440714001496,0.997833715031811,0.9995452849681891,20,S2,framework
314.0,0.9987725,0.0011030955248037704,0.9982562354027344,0.9992887645972655,20,S2,framework
315.0,0.998513,0.0022769372318741563,0.997447360572969,0.999578639427031,20,S2,framework
316.0,0.9983679999999998,0.0017559121186497481,0.9975462078320644,0.9991897921679352,20,S2,framework
317.0,0.9986125000000001,0.0013040700457454442,0.9980021764316106,0.9992228235683897,20,S2,framework
318.0,0.9987185000000001,0.0015712089713271415,0.9979831515659228,0.9994538484340774,20,S2,framework
319.0,0.9981095000000002,0.0018489299181162274,0.9972441741618611,0.9989748258381393,20,S2,framework
320.0,0.9989540000000001,0.002038620276456348,0.9979998963413987,0.9999081036586015,20,S2,framework
321.0,0.9989405,0.0014019665699145222,0.9982843594479609,0.9995966405520391,20,S2,framework
322.0,0.999005,0.0012900122398440243,0.998401255687295,0.9996087443127051,20,S2,framework
323.0,0.998788,0.0012155899585668008,0.9982190863870913,0.9993569136129087,20,S2,framework
324.0,0.9979875,0.001752060065661053,0.9971675106483576,0.9988074893516424,20,S2,framework
325.0,0.998137,0.0017535320746544995,0.9973163217269423,0.9989576782730578,20,S2,framework
326.0,0.9984485000000001,0.0018945691775232255,0.99756181433096,0.9993351856690401,20,S2,framework
327.0,0.9979209999999998,0.0018726533385321964,0.9970445712593364,0.9987974287406632,20,S2,framework
328.0,0.997977,0.0018821071617793313,0.9970961467338612,0.9988578532661389,20,S2,framework
329.0,0.9979189999999999,0.001957984731944125,0.9970026349378998,0.9988353650621,20,S2,framework
330.0,0.9981819999999999,0.0016855566002456183,0.9973931352282488,0.998970864771751,20,S2,framework
331.0,0.9984940000000002,0.0018069555669835004,0.9976483187628913,0.9993396812371091,20,S2,framework
332.0,0.9984295,0.0017464896371383208,0.9976121176891561,0.9992468823108438,20,S2,framework
333.0,0.9979720000000001,0.001933871491947804,0.9970669202816037,0.9988770797183965,20,S2,framework
334.0,0.9983274999999999,0.002212157496534466,0.997292178422352,0.9993628215776479,20,S2,framework
335.0,0.9979219999999998,0.0025802460103029282,0.9967144076950705,0.999129592304929,20,S2,framework
336.0,0.9977785000000001,0.002068226484085738,0.9968105402097088,0.9987464597902914,20,S2,framework
337.0,0.9984324999999998,0.0021027272391123974,0.9974483933593237,0.999416606640676,20,S2,framework
338.0,0.9982464999999999,0.0015257345944270817,0.9975324342294348,0.998960565770565,20,S2,framework
339.0,0.998723,0.0018770920959937235,0.997844493856898,0.9996015061431021,20,S2,framework
340.0,0.9985634999999998,0.0016907559038240225,0.9977722018792706,0.999354798120729,20,S2,framework
341.0,0.998794,0.0016353412648837462,0.9980286367286214,0.9995593632713785,20,S2,framework
342.0,0.9982605,0.002279059074082529,0.9971938675202473,0.9993271324797527,20,S2,framework
343.0,0.998902,0.001362287549829704,0.9982644298009932,0.9995395701990067,20,S2,framework
344.0,0.9982199999999999,0.0017977295622388198,0.9973786366660251,0.9990613633339747,20,S2,framework
345.0,0.998194,0.0016980155600303858,0.9973993042555807,0.9989886957444194,20,S2,framework
346.0,0.9985015,0.0020172943709204473,0.9975573771724194,0.9994456228275806,20,S2,framework
347.0,0.9982345,0.0015297900612760433,0.9975185362125248,0.9989504637874752,20,S2,framework
348.0,0.9989804999999998,0.0012423935938764587,0.9983990418996218,0.9995619581003778,20,S2,framework
349.0,0.9983115000000001,0.0014986775749587548,0.9976100973043409,0.9990129026956593,20,S2,framework
350.0,0.9990074999999999,0.001223174794928091,0.9984350365744039,0.999579963425596,20,S2,framework
351.0,0.9981985,0.002164683701217296,0.9971853968424879,0.9992116031575121,20,S2,framework
352.0,0.9983105,0.0020649212422855553,0.9973440871104878,0.9992769128895121,20,S2,framework
353.0,0.9983720000000001,0.001515101525172135,0.9976629106590308,0.9990810893409695,20,S2,framework
354.0,0.9991745,0.0010819790590443513,0.9986681182129226,0.9996808817870774,20,S2,framework
355.0,0.9987919999999999,0.0015231877929630334,0.9980791261692102,0.9995048738307896,20,S2,framework
356.0,0.998706,0.0017755515080939623,0.9978750163148714,0.9995369836851286,20,S2,framework
357.0,0.9986629999999999,0.0015920992431378246,0.9979178746177612,0.9994081253822386,20,S2,framework
358.0,0.9985555000000002,0.0018948669582516079,0.9976686749652893,0.999442325034711,20,S2,framework
359.0,0.9988209999999998,0.00145717065431247,0.9981390231411693,0.9995029768588304,20,S2,framework
360.0,0.9984115000000001,0.0017788798219814186,0.9975789586160231,0.9992440413839772,20,S2,framework
361.0,0.9985750000000001,0.0014335326258839412,0.9979040860790135,0.9992459139209867,20,S2,framework
362.0,0.9981770000000001,0.001534333731624251,0.9974589097093439,0.9988950902906563,20,S2,framework
363.0,0.997894,0.0025251813900453953,0.9967121787306352,0.9990758212693647,20,S2,framework
364.0,0.9986844999999999,0.0014567970454318379,0.9980026979955078,0.999366302004492,20,S2,framework
365.0,0.9983314999999999,0.001807322168583304,0.9974856471880609,0.999177352811939,20,S2,framework
366.0,0.998566,0.0017060153636625378,0.9977675602322321,0.9993644397677678,20,S2,framework
367.0,0.9975809999999999,0.0031312951751127182,0.996115508747294,0.9990464912527058,20,S2,framework
368.0,0.9985305,0.0014523609635421434,0.9978507741457403,0.9992102258542597,20,S2,framework
369.0,0.9988304999999998,0.001465373941857061,0.9981446838844183,0.9995163161155813,20,S2,framework
370.0,0.9989319999999999,0.001206197155919114,0.998367482354047,0.9994965176459528,20,S2,framework
371.0,0.9979315,0.001950512145970635,0.9970186322157887,0.9988443677842113,20,S2,framework
372.0,0.9982919999999998,0.0016656296422863997,0.9975124613316497,0.99907153866835,20,S2,framework
373.0,0.9981115,0.0020545566175544654,0.9971499379041792,0.9990730620958209,20,S2,framework
374.0,0.9990145000000001,0.0013721802666597795,0.9983722998669983,0.999656700133002,20,S2,framework
375.0,0.9983805,0.001729306143180576,0.997571159811881,0.999189840188119,20,S2,framework
376.0,0.9976545000000001,0.0019788419659780205,0.9967283734518941,0.9985806265481061,20,S2,framework
377.0,0.9986389999999996,0.0013513770754308404,0.9980065360601924,0.9992714639398068,20,S2,framework
378.0,0.998062,0.00199788730518278,0.997126959958771,0.998997040041229,20,S2,framework
379.0,0.9984635,0.0019737308380457126,0.9975397655333993,0.9993872344666006,20,S2,framework
380.0,0.998273,0.0017599165650079693,0.9974493336934792,0.9990966663065207,20,S2,framework
381.0,0.9987525000000002,0.0015799562785423036,0.9980130577001287,0.9994919422998716,20,S2,framework
382.0,0.9987530000000001,0.001651420759926375,0.9979801112932937,0.9995258887067066,20,S2,framework
383.0,0.9982265,0.002011551574492208,0.997285064883881,0.999167935116119,20,S2,framework
384.0,0.9976210000000002,0.0018383857335344982,0.9967606089921492,0.9984813910078512,20,S2,framework
385.0,0.997897,0.001998628740438115,0.9969616129563901,0.99883238704361,20,S2,framework
386.0,0.999485,0.0008282479923562211,0.9990973680074888,0.9998726319925111,20,S2,framework
387.0,0.9981265,0.0020243498631464605,0.9971790751004133,0.9990739248995868,20,S2,framework
388.0,0.9978019999999999,0.0019849661272464524,0.996873007256193,0.9987309927438067,20,S2,framework
389.0,0.9977824999999999,0.0018203177137377355,0.9969305650857093,0.9986344349142905,20,S2,framework
390.0,0.9978025,0.0019930771633199173,0.9968697111744598,0.9987352888255403,20,S2,framework
391.0,0.9984380000000002,0.0020092302794327633,0.9974976512834105,0.9993783487165898,20,S2,framework
392.0,0.9987055,0.0016429513719298902,0.9979365750888894,0.9994744249111106,20,S2,framework
393.0,0.9986880000000001,0.0021355723995416776,0.9976885213510619,0.9996874786489384,20,S2,framework
